City,Population
Hollister,"37,086"
Temple City,"36,334"
East Yolo,"36,296"
San Juan Capistrano,"36,282"
Bell,"36,217"
Claremont,"36,054"
Willowbrook,"35,983"
West Hollywood,"35,883"
Manhattan Beach,"35,881"
Moorpark,"35,550"
Wildomar,"35,377"
Beverly Hills,"34,871"
San Dimas,"34,637"
Pleasant Hill,"34,497"
Rubidoux,"34,280"
Seaside,"34,182"
La Presa,"34,169"
Dana Point,"34,116"
Orangevale,"33,960"
Lawndale,"33,442"
Menlo Park,"33,309"
Foothill Farms,"33,121"
Foster City,"32,754"
Adelanto,"32,728"
Oildale,"32,684"
Westside,"32,384"
La Verne,"32,288"
Westmont,"31,853"
North El Dorado,"31,656"
El Paso de Robles (Paso Robles),"31,287"
Saratoga,"31,001"
Laguna Hills,"30,972"
Fair Oaks,"30,912"
Goleta,"30,797"
Banning,"30,769"
Los Gatos,"30,735"
Fallbrook,"30,534"
Santa Paula,"30,441"
Burlingame,"30,298"
Los Altos,"30,288"
Oakhurst-North Fork,"30,244"
Walnut,"30,214"
San Pablo,"30,050"
San Carlos,"29,803"
West Valley,"29,595"
East Palo Alto,"29,530"
Suisun City,"29,256"
Atascadero,"29,134"
Atwater,"29,022"
Orcutt,"28,905"
Big Bear,"28,837"
Ridgecrest,"28,726"
South Coastside,"28,564"
Arrowhead,"28,450"
Tassajara,"28,330"
Monterey,"28,276"
Spring Valley,"28,205"
Desert Hot Springs,"28,164"
San Lorenzo Valley,"28,033"
Maywood,"27,937"
Benicia,"27,930"
Windsor,"27,414"
Imperial Beach,"27,149"
Belmont,"27,073"
Norco,"26,959"
Eureka,"26,925"
Lemon Grove,"26,511"
Paradise,"26,449"
Wasco,"26,303"
South Pasadena,"26,156"
Twentynine Palms,"25,902"
Brawley,"25,820"
West Whittier-Los Nietos,"25,540"
Lafayette,"25,473"
Reedley,"25,426"
Soledad,"25,336"
Lemoore,"25,186"
Hercules,"25,086"
North Tustin,"24,917"
Coronado,"24,910"
Tustin Foothills,"24,898"
Russian River-Coastal,"24,878"
Vineyard,"24,836"
Galt,"24,817"
Sanger,"24,810"
Seal Beach,"24,662"
El Cerrito,"24,599"
San Fernando,"24,587"
Calabasas,"24,296"
Cudahy,"24,291"
Selma,"24,283"
Colfax-Summit,"24,007"
Loma Linda,"23,853"
Bloomington,"23,851"
Riverbank,"23,798"
Dinuba,"23,667"
Barstow,"23,498"
San Lorenzo,"23,452"
Sun City,"23,436"
Laguna Beach,"23,341"
Isla Vista,"23,096"
French Valley,"23,067"
Ladera Ranch,"22,980"
Valinda,"22,822"
Corcoran,"22,815"
Lennox,"22,753"
Millbrae,"22,703"
Rosemont,"22,681"
West Puente Valley,"22,636"
Temescal Valley,"22,535"
Port Hueneme,"22,139"
Duarte,"22,006"
Mira Loma,"21,930"
Ashland,"21,925"
Santa Ynez Valley,"21,898"
Oakdale,"21,854"
West Carson,"21,699"
Lake Mathews,"21,561"
South Lake Tahoe,"21,529"
Yucca Valley,"21,485"
Bay Point,"21,349"
Patterson,"21,212"
Rancho San Diego,"21,208"
Agoura Hills,"20,843"
Marina,"20,817"
Greenfield-Panama,"20,776"
Lomita,"20,768"
North Coastal,"20,764"
La Canada Flintridge,"20,662"
Lakeside,"20,648"
Winter Gardens,"20,631"
Arvin,"20,583"
South El Monte,"20,569"
South San Jose Hills,"20,551"
American Canyon,"20,470"
Granite Bay,"20,402"
Ramona,"20,292"
Glen Avon,"20,199"
Lathrop,"20,075"
Hermosa Beach,"19,891"
La Crescenta-Montrose,"19,653"
Albany,"19,488"
Blythe,"19,258"
Sierra,"19,246"
Dixon,"19,164"
Carpinteria Valley,"19,142"
Pinole,"19,100"
Castaic,"19,015"
Orinda,"19,003"
Chowchilla,"18,909"
Casa de Oro-Mount Helix,"18,762"
Mead Valley,"18,510"
Cameron Park,"18,228"
Rosamond,"18,150"
Rancho Mirage,"17,982"
Arroyo Grande,"17,908"
Linda,"17,773"
Arcata,"17,730"
Prunedale,"17,560"
Shafter,"17,559"
Stevenson Ranch,"17,557"
Santa Fe Springs,"17,537"
East Hemet,"17,418"
Moraga,"17,270"
Live Oak,"17,158"
El Segundo,"17,063"
